canonical_code,metric_type,current_calculation_status,recommended_calculation_status,has_engine_constant,has_calc_function,calc_function_name,source_tables_verified,source_columns_verified,min_sample_required,empty_period_behavior,manual_input_needed,migration_needed,dashboard_endpoint_needed,snapshot_needed,priority,where_found,source_tables,missing_tables,source_columns
POS_SYSTEM_PATCH_COMPLIANCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_TEAM_BACKLOG_AGING,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_TOOL_AVAILABILITY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_TOOL_INVENTORY_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_TOOL_LIFE_ADHERENCE,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
POS_TOOL_PRESET_ACCURACY,operating_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,proposed_operating_metrics|jd_kpi_scorecards,,,
PROMISE_DATE_RISK,metric,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,dashboard_core_kpis,,,
PUT_THRU,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcPutThru,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,job_orders,,
QC_HOLD_SLA,metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P1,dashboard_core_kpis,,,
QUOTE_HIT_RATE,kpi,staged_data_contract,staged_data_contract,no,no,,no,no,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,rfq_records,rfq_records,rfq_status|won_at|qualified_flag
RECORDABLE_INCIDENT_RATE,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,yes,no,P1,annex122_governance_kpis|executive_scorecard|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,incident_logs,incident_logs,severity|incident_date|lost_days
REPEAT_NCR_RATE,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,executive_scorecard|dashboard_core_kpis|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
REWORK_RATE,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcReworkRate,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,job_orders,,
RFQ_TURNAROUND_TIME,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|gate_control_metrics|jd_kpi_scorecards,rfq_records,rfq_records,received_at|quoted_at|rfq_status
SAFETY_ONBOARDING_COMPLIANCE,kpi,staged_data_contract,staged_data_contract,no,no,,yes,migration_text_hit,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,training_records,,training_type|assessment_result|recorded_at
SCHEDULE_RECOVERY_EFFECTIVENESS,kpi,staged_data_contract,staged_data_contract,no,no,,yes,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,job_orders,,scheduled_start|actual_start|recovery_window_end
SCRAP_RATE,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcScrapRate,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,job_orders,,
SERVICE_TICKET_SLA,kpi,staged_data_contract,staged_data_contract,no,no,,no,partial,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|jd_kpi_scorecards,service_tickets,service_tickets,created_at|resolved_at|sla_hours
SETUP_FIRST_PASS,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,executive_scorecard|gate_control_metrics|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
SETUP_RATIO,metric,runtime_calculated,staged_data_contract_until_source_repaired,yes,yes,calcSetupRatio,no,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,yes,no,no,P0,runtime_calculated_metrics,equipment_logs,equipment_logs,
SHIP_PACKET_COMPLETENESS,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P1,dashboard_core_kpis|gate_control_metrics|jd_kpi_scorecards,,,
SHIP_READY_TO_INVOICE_LT,kpi,staged_data_contract,staged_data_contract,no,no,,partial,migration_text_hit,yes,grey_no_manual_input_via_kpi_manual_inputs,yes,yes,no,no,P1,annex122_governance_kpis|gate_control_metrics|jd_kpi_scorecards,shipments|invoices,invoices,ship_date|invoice_date
SPC_SIGNAL_REACTION_TIME,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics,,,
SUPPLIER_OTD,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcSupplierOtd,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|dashboard_core_kpis|jd_kpi_scorecards,vendor_ratings,,otd_pct|period_start|period_end
SUPPLIER_QUAL,metric,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcSupplierQuality,yes,engine_query_only,no,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics,vendor_ratings,,
SUPPLIER_READINESS,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P0,executive_scorecard|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
THROUGHPUT_PER_CONSTRAINT_HOUR,kpi,staged_data_contract,staged_data_contract_until_columns_and_calc_verified,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,yes,P0,executive_scorecard|proposed_operating_metrics|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,,,
TIME_ENTRY_COMPLIANCE,metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,yes,no,P1,dashboard_core_kpis,,,
TRACEABILITY_COMPLETENESS,gate_control_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics|jd_kpi_scorecards,,,
TRACEABILITY_DRILL_TIME,gate_control_metric,manual_governed,manual_governed_with_approver_evidence,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,no,P2,gate_control_metrics,,,
TRAINING_COMP,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcTrainingCompletion,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|jd_kpi_scorecards,training_records,,assessment_result|recorded_at
WIP_AGING,kpi,runtime_calculated,runtime_calculated_verify_with_data,yes,yes,calcWipAging,yes,migration_text_hit,yes,grey_insufficient_data_if_sample_size_below_min; otherwise calculator zero guard,no,no,no,no,P2,runtime_calculated_metrics|annex122_governance_kpis|executive_scorecard|dashboard_core_kpis|jd_kpi_scorecards|scorecard_evidence_contracts|metric_governance_overrides,job_orders,,created_at|job_status
WIP_BEFORE_CONSTRAINT,operating_metric,staged_data_contract,staged_data_contract,no,no,,no_source_declared,not_declared,no,grey_no_manual_input_via_kpi_manual_inputs,yes,no,no,yes,P2,proposed_operating_metrics,,,
